run,corner,temperature,vdd,time,vo_diff,frequency
run_00,tt,-40,0.8,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[-3.111e-01, -1.870e-01, -3.563e-02, …]",4.722e+09
run_01,ss,-40,0.8,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[-3.163e-01, -1.876e-01, -3.217e-02, …]",4.722e+09
run_02,tt,27,0.8,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[-2.915e-01, -1.780e-01, -3.803e-02, …]",4.722e+09
run_03,ss,27,0.8,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[-2.959e-01, -1.792e-01, -3.599e-02, …]",4.722e+09
run_04,tt,80,0.8,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[-2.689e-01, -1.692e-01, -4.423e-02, …]",4.722e+09
run_05,ss,80,0.8,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[-2.723e-01, -1.701e-01, -4.252e-02, …]",4.722e+09
run_06,tt,-40,1.2,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[-3.623e-01, -1.963e-01, -5.713e-03, …]",4.722e+09
run_07,ss,-40,1.2,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[-3.669e-01, -1.979e-01, -3.070e-03, …]",4.722e+09
run_08,tt,27,1.2,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[-3.388e-01, -1.852e-01, -4.985e-03, …]",4.722e+09
run_09,ss,27,1.2,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[-3.446e-01, -1.889e-01, -5.355e-03, …]",4.722e+09
run_10,tt,80,1.2,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[-2.832e-01, -1.548e-01, 2.955e-03, …]",4.722e+09
run_11,ss,80,1.2,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[-2.858e-01, -1.573e-01, 2.540e-03, …]",4.722e+09
run_12,tt,-40,1.6,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[-3.214e-01, -1.558e-01, 3.477e-02, …]",4.722e+09
run_13,ss,-40,1.6,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[-3.365e-01, -1.657e-01, 3.100e-02, …]",4.722e+09
run_14,tt,27,1.6,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[-2.748e-01, -1.328e-01, 3.931e-02, …]",4.722e+09
run_15,ss,27,1.6,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[-2.957e-01, -1.475e-01, 3.197e-02, …]",4.722e+09
run_16,tt,80,1.6,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[-1.909e-01, -9.049e-02, 3.946e-02, …]",4.722e+09
run_17,ss,80,1.6,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[-2.136e-01, -1.054e-01, 3.486e-02, …]",4.722e+09
